alien_name,alien_category
"Becker, Zulauf and Fadel",Ducks
"Becker, Zulauf and Fadel",Ducks
"Becker, Zulauf and Fadel",Ducks
"Becker, Zulauf and Fadel",Ducks
Willms LLC,Bears
Hahn LLC,Bees
Hahn LLC,Bees
Hahn LLC,Bees
Hahn LLC,Bees
Runolfsson Inc,Foxes
Runolfsson Inc,Foxes
Mitchell-Johns,Foxes
Mitchell-Johns,Foxes
"Howell, Robel and Rutherford",Frogs
"Brekke, D'Amore and Schulist",Frogs
"Brekke, D'Amore and Schulist",Frogs
"Hayes, Quitzon and Grant",Bears
"Hauck, Luettgen and Wilderman",Foxes
Beahan-Prohaska,Vixens
Beahan-Prohaska,Vixens
Beahan-Prohaska,Vixens
Roberts Group,Bees
Ruecker and Sons,Dogs
Champlin-Heidenreich,Dogs
"Crona, Rau and Langworth",Foxes
Hand-Klein,Owls
Hand-Klein,Owls
Hand-Klein,Owls
Marvin Inc,Fishes
Hilll and Sons,Dogs
Terry-Jacobi,Horses
Terry-Jacobi,Horses
Terry-Jacobi,Horses
Kovacek-Schneider,Ogres
Kovacek-Schneider,Ogres
Klein Group,Bees
Thompson-Turcotte,Horses
Thompson-Turcotte,Horses
Schimmel Inc,Ogres
"Ernser, Farrell and Russel",Dogs
Huels Inc,Dogs
Jacobs-Hodkiewicz,Foxes
Jacobs-Hodkiewicz,Foxes
Jacobs-Hodkiewicz,Foxes
Cummerata-Huels,Bears
Armstrong LLC,Horses
Wolf-Stanton,Dogs
Wolf-Stanton,Dogs
Wolf-Stanton,Dogs
"Haley, Morissette and Daugherty",Bees
"Wilkinson, Gleason and Olson",Ogres
Willms LLC,Bears
"O'Connell, Moore and Stamm",Horses
"Littel, Weissnat and Goodwin",Dogs
"Botsford, Kassulke and Rau",Unknown
"Botsford, Kassulke and Rau",Unknown
Goodwin LLC,Horses
"Macejkovic, Labadie and Towne",Foxes
Raynor Group,Bees
Turner Inc,Bees
"Moore, Shanahan and Blanda",Unknown
Cummerata-Huels,Bears
Turner Inc,Bees
Kovacek-Bradtke,Horses
Bartoletti-Luettgen,Dogs
Bartoletti-Luettgen,Dogs
Bartoletti-Luettgen,Dogs
Weimann and Sons,Bees
Wuckert and Sons,Bees
Wuckert and Sons,Bees
Wuckert and Sons,Bees
Wuckert and Sons,Bees
"D'Amore, Hagenes and Vandervort",Ogres
Hermann and Sons,Ducks
"Parisian, Daniel and Glover",Ogres
Stehr-Gleichner,Dogs
Yundt-Reilly,Bees
"White, Boyer and Conroy",Foxes
Yundt-Reilly,Bees
"Botsford, Kassulke and Rau",Unknown
"Botsford, Kassulke and Rau",Unknown
Padberg Inc,Dogs
Raynor Group,Bees
"Stark, Dietrich and Hayes",Kangaroos
Ankunding LLC,Bees
Ankunding LLC,Bees
Ankunding LLC,Bees
Flatley and Sons,Birds
Stroman and Sons,Dogs
Dach-Weber,Fishes
Dach-Weber,Fishes
Hilll and Sons,Dogs
"Botsford, Kassulke and Rau",Unknown
