alien_name,alien_category,planet,galaxy,product,product_family,stage,created_date,close_date,closed,setup_charge,revenue_month
"Becker, Zulauf and Fadel",Ducks,Adrastea,Omega,Sleek Plastic Pants,Rhode Island people,Identification,7-Jan-14,28-Nov-14,No,,1
"Becker, Zulauf and Fadel",Ducks,Adrastea,Omega,Rustic Steel Computer,Rhode Island people,Identification,7-Jan-14,28-Nov-14,No,,1
"Becker, Zulauf and Fadel",Ducks,Adrastea,Omega,Rustic Steel Computer,Rhode Island people,Identification,7-Jan-14,28-Nov-14,No,,0
"Becker, Zulauf and Fadel",Ducks,Adrastea,Omega,Sleek Plastic Pants,Rhode Island people,Identification,7-Jan-14,28-Nov-14,No,,0
Willms LLC,Bears,Aegaeon,Andromeda,Intelligent Steel Pants,California sorcerors,Closed Won,27-Mar-14,27-Mar-14,Yes,0,0
Hahn LLC,Bees,Aegir,Milky Way,Rustic Steel Computer,Rhode Island people,Proposal,21-Feb-14,30-Apr-14,No,,0
Hahn LLC,Bees,Aegir,Milky Way,Rustic Rubber Chair,California sorcerors,Proposal,21-Feb-14,30-Apr-14,No,,0
Hahn LLC,Bees,Aegir,Milky Way,Practical Rubber Hat,Vermont oracles,Proposal,21-Feb-14,30-Apr-14,No,,0
Hahn LLC,Bees,Aegir,Milky Way,Sleek Rubber Gloves,California sorcerors,Proposal,21-Feb-14,30-Apr-14,Yes,,0
Runolfsson Inc,Foxes,Aitne,Centaurus A,Sleek Plastic Pants,Rhode Island people,Closed Won,9-Mar-14,9-Mar-14,Yes,0,700.5
Runolfsson Inc,Foxes,Aitne,Centaurus A,Rustic Steel Computer,Rhode Island people,Closed Won,9-Mar-14,9-Mar-14,Yes,0,730.4
Mitchell-Johns,Foxes,Aitne,Centaurus A,Sleek Plastic Pants,Rhode Island people,Closed Won,9-Mar-14,9-Mar-14,Yes,0,176.4
Mitchell-Johns,Foxes,Aitne,Centaurus A,Rustic Steel Computer,Rhode Island people,Closed Won,9-Mar-14,9-Mar-14,Yes,0,1710.2
"Howell, Robel and Rutherford",Frogs,Albiorix,Andromeda,Sleek Plastic Pants,Rhode Island people,Proposal,9-Mar-14,31-May-14,No,,0
"Brekke, D'Amore and Schulist",Frogs,Amalthea,Milky Way,Rustic Steel Computer,Rhode Island people,Proposal,29-Apr-14,1-Sep-14,No,,9425
"Brekke, D'Amore and Schulist",Frogs,Amalthea,Milky Way,Ergonomic Wooden Computer,Rhode Island people,Proposal,29-Apr-14,1-Sep-14,No,,4129
"Hayes, Quitzon and Grant",Bears,Albiorix,Andromeda,Ergonomic Wooden Computer,Rhode Island people,Closed Won,3-Mar-14,3-Mar-14,Yes,,585
"Hauck, Luettgen and Wilderman",Foxes,Ananke,Centaurus A,Rustic Steel Computer,Rhode Island people,Closed Won,3-Mar-14,29-Mar-14,Yes,0,1500
Beahan-Prohaska,Vixens,Albiorix,Andromeda,Ergonomic Wooden Computer,Rhode Island people,Closed Won,3-Mar-14,3-Mar-14,Yes,,40
Beahan-Prohaska,Vixens,Albiorix,Andromeda,Rustic Steel Computer,Rhode Island people,Closed Won,3-Mar-14,3-Mar-14,Yes,,200
Beahan-Prohaska,Vixens,Albiorix,Andromeda,Practical Cotton Table,Rhode Island people,Closed Won,3-Mar-14,3-Mar-14,Yes,,13
Roberts Group,Bees,Anthe,Andromeda,Rustic Steel Computer,Rhode Island people,Identification,10-Mar-14,10-Nov-14,No,,56.5
Ruecker and Sons,Dogs,Anthe,Andromeda,Rustic Steel Computer,Rhode Island people,Qualification,10-Mar-14,15-Jun-14,No,,0
Champlin-Heidenreich,Dogs,Anthe,Andromeda,Rustic Steel Computer,Rhode Island people,Identification,6-Mar-14,16-Sep-14,No,,6453.1
"Crona, Rau and Langworth",Foxes,Anthe,Andromeda,Rustic Steel Computer,Rhode Island people,Identification,6-Mar-14,30-Sep-14,No,,7743.7
Hand-Klein,Owls,Albiorix,Andromeda,Ergonomic Wooden Computer,Rhode Island people,Closed Won,31-Mar-14,31-Mar-14,Yes,,50.8
Hand-Klein,Owls,Albiorix,Andromeda,Rustic Steel Computer,Rhode Island people,Closed Won,31-Mar-14,31-Mar-14,Yes,,15
Hand-Klein,Owls,Albiorix,Andromeda,Sleek Plastic Pants,Rhode Island people,Closed Won,31-Mar-14,31-Mar-14,Yes,,14.5
Marvin Inc,Fishes,Albiorix,Andromeda,Ergonomic Wooden Computer,Rhode Island people,Closed Won,19-Jan-14,31-Mar-14,Yes,,10
Hilll and Sons,Dogs,Aoede,Centaurus A,Rustic Steel Computer,Rhode Island people,Closed Won,31-Mar-14,31-Mar-14,Yes,,120
Terry-Jacobi,Horses,Amalthea,Milky Way,Sleek Plastic Pants,Rhode Island people,Proposal,5-Jan-14,2-Jun-14,No,0,484.2
Terry-Jacobi,Horses,Amalthea,Milky Way,Incredible Granite Shoes,Alabama chickens,Proposal,5-Jan-14,2-Jun-14,Yes,1212,484.8
Terry-Jacobi,Horses,Amalthea,Milky Way,Rustic Steel Car,Rhode Island people,Proposal,5-Jan-14,2-Jun-14,No,0,852.9
Kovacek-Schneider,Ogres,Albiorix,Andromeda,Rustic Steel Computer,Rhode Island people,Identification,9-Mar-14,31-Jul-14,No,,0
Kovacek-Schneider,Ogres,Albiorix,Andromeda,Sleek Plastic Pants,Rhode Island people,Identification,9-Mar-14,31-Jul-14,No,,0
Klein Group,Bees,Amalthea,Milky Way,Practical Cotton Table,Rhode Island people,Identification,4-Feb-14,24-Nov-14,No,,742.3
Thompson-Turcotte,Horses,Aegaeon,Andromeda,Sleek Rubber Gloves,California sorcerors,Closed Won,4-Feb-14,6-Feb-14,Yes,19,30
Thompson-Turcotte,Horses,Aegaeon,Andromeda,Intelligent Steel Pants,California sorcerors,Closed Won,4-Feb-14,6-Feb-14,Yes,0,8
Schimmel Inc,Ogres,Aegir,Milky Way,Sleek Rubber Gloves,California sorcerors,Proposal,4-Feb-14,7-Apr-14,No,,175
"Ernser, Farrell and Russel",Dogs,Arche,Centaurus A,Sleek Rubber Gloves,California sorcerors,Proposal,4-Feb-14,17-Mar-14,No,400,3600
Huels Inc,Dogs,Aegaeon,Andromeda,Rustic Rubber Chair,California sorcerors,Proposal,28-Mar-14,30-Jun-14,No,2121,3112
Jacobs-Hodkiewicz,Foxes,Aoede,Centaurus A,Ergonomic Wooden Computer,Rhode Island people,Identification,17-Feb-14,31-Mar-15,No,,1500
Jacobs-Hodkiewicz,Foxes,Aoede,Centaurus A,Rustic Steel Computer,Rhode Island people,Identification,17-Feb-14,31-Mar-15,No,,24000
Jacobs-Hodkiewicz,Foxes,Aoede,Centaurus A,Sleek Plastic Pants,Rhode Island people,Identification,17-Feb-14,31-Mar-15,No,,2400
Cummerata-Huels,Bears,Aoede,Centaurus A,Rustic Rubber Chair,California sorcerors,Identification,17-Feb-14,25-Jun-16,No,,4500
Armstrong LLC,Horses,Ariel,Milky Way,Rustic Steel Computer,Rhode Island people,Closed Won,4-Feb-14,4-Feb-14,Yes,,0
