planet,galaxy
Adrastea,Omega
Adrastea,Omega
Adrastea,Omega
Adrastea,Omega
Aegaeon,Andromeda
Aegir,Milky Way
Aegir,Milky Way
Aegir,Milky Way
Aegir,Milky Way
Aitne,Centaurus A
Aitne,Centaurus A
Aitne,Centaurus A
Aitne,Centaurus A
Albiorix,Andromeda
Amalthea,Milky Way
Amalthea,Milky Way
Albiorix,Andromeda
Ananke,Centaurus A
Albiorix,Andromeda
Albiorix,Andromeda
Albiorix,Andromeda
Anthe,Andromeda
Anthe,Andromeda
Anthe,Andromeda
Anthe,Andromeda
Albiorix,Andromeda
Albiorix,Andromeda
Albiorix,Andromeda
Albiorix,Andromeda
Aoede,Centaurus A
Amalthea,Milky Way
Amalthea,Milky Way
Amalthea,Milky Way
Albiorix,Andromeda
Albiorix,Andromeda
Amalthea,Milky Way
Aegaeon,Andromeda
Aegaeon,Andromeda
Aegir,Milky Way
Arche,Centaurus A
Aegaeon,Andromeda
Aoede,Centaurus A
Aoede,Centaurus A
Aoede,Centaurus A
Aoede,Centaurus A
Ariel,Milky Way
Albiorix,Andromeda
Albiorix,Andromeda
Albiorix,Andromeda
Aoede,Centaurus A
Aegaeon,Andromeda
Aegaeon,Andromeda
Atlas,Milky Way
Aitne,Centaurus A
Aegaeon,Andromeda
Aegaeon,Andromeda
Amalthea,Milky Way
Amalthea,Milky Way
Amalthea,Milky Way
Amalthea,Milky Way
Aegaeon,Andromeda
Aegaeon,Andromeda
Amalthea,Milky Way
Aegaeon,Andromeda
Aitne,Centaurus A
Aitne,Centaurus A
Aitne,Centaurus A
Aegaeon,Andromeda
Autonoe,Andromeda
Bebhionn,Andromeda
Bebhionn,Andromeda
Bebhionn,Andromeda
Aegaeon,Andromeda
Aegaeon,Andromeda
Aoede,Centaurus A
Arche,Centaurus A
Belinda,Omega
Aegir,Milky Way
Amalthea,Milky Way
Anthe,Andromeda
Anthe,Andromeda
Aoede,Centaurus A
Amalthea,Milky Way
Aegaeon,Andromeda
Amalthea,Milky Way
Amalthea,Milky Way
Amalthea,Milky Way
Aegaeon,Andromeda
Amalthea,Milky Way
Bergelmir,Milky Way
Bergelmir,Milky Way
Aegaeon,Andromeda
Bestla,Messier 83
Aegaeon,Andromeda
Aegaeon,Andromeda
Amalthea,Milky Way
Aegaeon,Andromeda
Amalthea,Milky Way
Aegaeon,Andromeda
Aegaeon,Andromeda
Bestla,Messier 83
Aegaeon,Andromeda
Bianca,Centaurus A
Bianca,Centaurus A
Aegaeon,Andromeda
Aegaeon,Andromeda
Arche,Centaurus A
Amalthea,Milky Way
Aegaeon,Andromeda
Amalthea,Milky Way
Caliban,Messier 83
Amalthea,Milky Way
Aegaeon,Andromeda
Aoede,Centaurus A
Aoede,Centaurus A
Aoede,Centaurus A
Aegir,Milky Way
Aegir,Milky Way
Arche,Centaurus A
Aegaeon,Andromeda
Aegaeon,Andromeda
Aegaeon,Andromeda
Callirrhoe,Milky Way
Callirrhoe,Milky Way
Amalthea,Milky Way
Aoede,Centaurus A
Autonoe,Andromeda
Autonoe,Andromeda
Aoede,Centaurus A
Aegaeon,Andromeda
Aoede,Centaurus A
Aoede,Centaurus A
Aegaeon,Andromeda
Aegaeon,Andromeda
Aegaeon,Andromeda
Aegaeon,Andromeda
Aegaeon,Andromeda
Albiorix,Andromeda
Albiorix,Andromeda
Aegaeon,Andromeda
Aegaeon,Andromeda
Amalthea,Milky Way
Amalthea,Milky Way
Amalthea,Milky Way
Aegaeon,Andromeda
Aoede,Centaurus A
Aoede,Centaurus A
Aoede,Centaurus A
Albiorix,Andromeda
Albiorix,Andromeda
Albiorix,Andromeda
Albiorix,Andromeda
Albiorix,Andromeda
Albiorix,Andromeda
Aegaeon,Andromeda
Amalthea,Milky Way
Amalthea,Milky Way
Aegir,Milky Way
Arche,Centaurus A
Amalthea,Milky Way
Amalthea,Milky Way
Aegaeon,Andromeda
Aegir,Milky Way
Aegir,Milky Way
Aegir,Milky Way
Amalthea,Milky Way
Aegaeon,Andromeda
Aegaeon,Andromeda
Arche,Centaurus A
Amalthea,Milky Way
Belinda,Omega
Amalthea,Milky Way
Bianca,Centaurus A
